timestamp,variant,dim,reach,grid_size,timesteps,elapsed_ms,max_abs_error,l2_error,bandwidth_gbs,memory_bytes
2026-04-04 17:13:53,cpu_fp64_3d,3,1,32,500,42.5628,0,0,0,524288
2026-04-04 17:13:53,cuda_fp32_3d,3,1,32,500,26.4085,0.00139913,0.000103471,16.3583,262144
2026-04-04 17:13:53,cpu_fp64_3d,3,1,32,500,32.5538,0,0,0,524288
2026-04-04 17:13:54,cuda_fp32_smem_3d,3,1,32,500,42.1475,0.00139907,0.000100903,10.2497,262144
2026-04-04 17:13:54,cpu_fp64_3d,3,1,32,500,29.6923,0,0,0,524288
2026-04-04 17:13:54,cuda_fp16_naive_smem_3d,3,1,32,500,38.0047,0.00520271,0.00190484,5.6835,131072
2026-04-04 17:13:54,cpu_fp64_3d,3,1,32,500,34.6888,0,0,0,524288
2026-04-04 17:13:54,cuda_fp16_kahan_smem_3d,3,1,32,500,54.3092,0.00139907,9.81286e-05,11.9317,393216
2026-04-04 17:13:57,cpu_fp64_3d,3,1,64,500,2109.48,0,0,0,4194304
2026-04-04 17:13:57,cuda_fp32_3d,3,1,64,500,59.5581,0.000323606,5.03306e-06,64.0257,2097152
2026-04-04 17:13:57,cpu_fp64_3d,3,1,64,500,245.344,0,0,0,4194304
2026-04-04 17:13:58,cuda_fp32_smem_3d,3,1,64,500,133.695,0.000323604,5.02353e-06,28.522,2097152
2026-04-04 17:13:58,cpu_fp64_3d,3,1,64,500,241.107,0,0,0,4194304
2026-04-04 17:13:59,cuda_fp16_naive_smem_3d,3,1,64,500,138.701,0.0354881,0.00268867,13.7463,1048576
2026-04-04 17:13:59,cpu_fp64_3d,3,1,64,500,240.336,0,0,0,4194304
2026-04-04 17:14:00,cuda_fp16_kahan_smem_3d,3,1,64,500,177.463,0.000323604,5.3033e-06,32.2313,3145728
2026-04-04 17:14:02,cpu_fp64_3d,3,1,128,500,2094.35,0,0,0,33554432
2026-04-04 17:14:03,cuda_fp32_3d,3,1,128,500,372.572,5.72205e-06,7.13973e-08,85.9056,16777216
2026-04-04 17:14:05,cpu_fp64_3d,3,1,128,500,1989.34,0,0,0,33554432
2026-04-04 17:14:06,cuda_fp32_smem_3d,3,1,128,500,749.505,7.62939e-06,7.70067e-08,42.7029,16777216
2026-04-04 17:14:08,cpu_fp64_3d,3,1,128,500,2084.3,0,0,0,33554432
2026-04-04 17:14:10,cuda_fp16_naive_smem_3d,3,1,128,500,768.534,0.221167,0.0027586,20.8228,8388608
2026-04-04 17:14:12,cpu_fp64_3d,3,1,128,500,2065.58,0,0,0,33554432
2026-04-04 17:14:13,cuda_fp16_kahan_smem_3d,3,1,128,500,1266.38,7.62939e-06,7.70067e-08,37.9106,25165824
2026-04-04 17:14:14,cpu_fp64_3d,3,4,32,500,45.3269,0,0,0,524288
2026-04-04 17:14:14,cuda_fp32_3d,3,4,32,500,49.1811,0.0056864,0.000720387,14.6163,262144
2026-04-04 17:14:14,cpu_fp64_3d,3,4,32,500,46.3055,0,0,0,524288
2026-04-04 17:14:15,cuda_fp32_smem_3d,3,4,32,500,76.9651,0.00568634,0.000746593,9.33992,262144
2026-04-04 17:14:15,cpu_fp64_3d,3,4,32,500,44.4347,0,0,0,524288
2026-04-04 17:14:15,cuda_fp16_naive_smem_3d,3,4,32,500,70.1133,0.0108501,0.0028635,5.12633,131072
2026-04-04 17:14:15,cpu_fp64_3d,3,4,32,500,49.518,0,0,0,524288
2026-04-04 17:14:16,cuda_fp16_kahan_smem_3d,3,4,32,500,109.217,0.00568634,0.000697266,9.87273,393216
2026-04-04 17:14:16,cpu_fp64_3d,3,4,64,500,532.573,0,0,0,4194304
2026-04-04 17:14:17,cuda_fp32_3d,3,4,64,500,135.27,0.000116855,8.83991e-06,67.5096,2097152
2026-04-04 17:14:17,cpu_fp64_3d,3,4,64,500,518.807,0,0,0,4194304
2026-04-04 17:14:18,cuda_fp32_smem_3d,3,4,64,500,242.916,0.000116855,8.79537e-06,37.5934,2097152
2026-04-04 17:14:18,cpu_fp64_3d,3,4,64,500,521.01,0,0,0,4194304
2026-04-04 17:14:19,cuda_fp16_naive_smem_3d,3,4,64,500,242.718,0.0889673,0.00329138,18.812,1048576
2026-04-04 17:14:20,cpu_fp64_3d,3,4,64,500,519.424,0,0,0,4194304
2026-04-04 17:14:20,cuda_fp16_kahan_smem_3d,3,4,64,500,329.813,0.000118257,8.29667e-06,41.5327,3145728
2026-04-04 17:14:26,cpu_fp64_3d,3,4,128,500,5477.02,0,0,0,33554432
2026-04-04 17:14:27,cuda_fp32_3d,3,4,128,500,950.588,1.14441e-05,7.82097e-08,94.5268,16777216
2026-04-04 17:14:33,cpu_fp64_3d,3,4,128,500,5430.04,0,0,0,33554432
2026-04-04 17:14:35,cuda_fp32_smem_3d,3,4,128,500,1459.44,7.62939e-06,6.35119e-08,61.5687,16777216
2026-04-04 17:14:40,cpu_fp64_3d,3,4,128,500,5257.85,0,0,0,33554432
2026-04-04 17:14:42,cuda_fp16_naive_smem_3d,3,4,128,500,1425.2,0.375191,0.0037083,31.524,8388608
2026-04-04 17:14:50,cpu_fp64_3d,3,4,128,500,7865.2,0,0,0,33554432
2026-04-04 17:14:53,cuda_fp16_kahan_smem_3d,3,4,128,500,2072.98,7.62939e-06,6.35119e-08,65.0195,25165824
2026-04-04 17:14:53,cpu_fp64_3d,3,8,32,500,39.1478,0,0,0,524288
2026-04-04 17:14:53,cuda_fp32_3d,3,8,32,500,70.0619,0.00265861,0.000222649,5.84626,262144
2026-04-04 17:14:53,cpu_fp64_3d,3,8,32,500,45.452,0,0,0,524288
2026-04-04 17:14:54,cuda_fp32_smem_3d,3,8,32,500,93.1468,0.00265861,0.000216181,4.39736,262144
2026-04-04 17:14:54,cpu_fp64_3d,3,8,32,500,38.67,0,0,0,524288
2026-04-04 17:14:54,cuda_fp16_naive_smem_3d,3,8,32,500,82.2917,0.0335305,0.00784753,2.48871,131072
2026-04-04 17:14:55,cpu_fp64_3d,3,8,32,500,42.0807,0,0,0,524288
2026-04-04 17:14:55,cuda_fp16_kahan_smem_3d,3,8,32,500,143.873,0.00265861,0.000232977,4.27044,393216
2026-04-04 17:14:56,cpu_fp64_3d,3,8,64,500,763.813,0,0,0,4194304
2026-04-04 17:14:57,cuda_fp32_3d,3,8,64,500,172.236,0.000512691,7.52906e-05,64.2095,2097152
2026-04-04 17:14:57,cpu_fp64_3d,3,8,64,500,758.056,0,0,0,4194304
2026-04-04 17:14:58,cuda_fp32_smem_3d,3,8,64,500,357.436,0.000512691,7.8718e-05,30.9403,2097152
2026-04-04 17:14:59,cpu_fp64_3d,3,8,64,500,764.763,0,0,0,4194304
2026-04-04 17:15:00,cuda_fp16_naive_smem_3d,3,8,64,500,302.739,0.097229,0.00345977,18.2652,1048576
2026-04-04 17:15:01,cpu_fp64_3d,3,8,64,500,789.375,0,0,0,4194304
2026-04-04 17:15:01,cuda_fp16_kahan_smem_3d,3,8,64,500,427.994,0.000518998,6.88915e-05,38.7594,3145728
2026-04-04 17:15:12,cpu_fp64_3d,3,8,128,500,10146.2,0,0,0,33554432
2026-04-04 17:15:14,cuda_fp32_3d,3,8,128,500,1436.85,0.000473022,8.49145e-06,97.7785,16777216
2026-04-04 17:15:26,cpu_fp64_3d,3,8,128,500,12089.1,0,0,0,33554432
2026-04-04 17:15:28,cuda_fp32_smem_3d,3,8,128,500,2196.47,0.000492096,8.58141e-06,63.963,16777216
2026-04-04 17:15:39,cpu_fp64_3d,3,8,128,500,10487.4,0,0,0,33554432
2026-04-04 17:15:42,cuda_fp16_naive_smem_3d,3,8,128,500,2112.14,0.558186,0.0036938,33.2584,8388608
2026-04-04 17:15:52,cpu_fp64_3d,3,8,128,500,10600.5,0,0,0,33554432
2026-04-04 17:15:58,cuda_fp16_kahan_smem_3d,3,8,128,500,3324.97,0.000492096,8.58141e-06,63.3808,25165824
